building_count,total_risk,grid_id,grid_bounds,avg_risk
34.0,8.30499354004,16,"[[42.255267050999997, -83.168367000000018], [42.255267050999997, -83.160779000000019], [42.2617556493, -83.160779000000019], [42.2617556493, -83.168367000000018]]",0.244264515884
21.0,2.78118428588,17,"[[42.255267050999997, -83.160779000000019], [42.255267050999997, -83.153191000000021], [42.2617556493, -83.153191000000021], [42.2617556493, -83.160779000000019]]",0.132437346946
4.0,0.539899736642,65,"[[42.2617556493, -83.175955000000016], [42.2617556493, -83.168367000000018], [42.268244247600002, -83.168367000000018], [42.268244247600002, -83.175955000000016]]",0.13497493416
74.0,14.6326490343,66,"[[42.2617556493, -83.168367000000018], [42.2617556493, -83.160779000000019], [42.268244247600002, -83.160779000000019], [42.268244247600002, -83.168367000000018]]",0.197738500463
108.0,18.3548274636,67,"[[42.2617556493, -83.160779000000019], [42.2617556493, -83.153191000000021], [42.268244247600002, -83.153191000000021], [42.268244247600002, -83.160779000000019]]",0.169952106145
11.0,1.34668472409,68,"[[42.2617556493, -83.153191000000021], [42.2617556493, -83.145603000000023], [42.268244247600002, -83.145603000000023], [42.268244247600002, -83.153191000000021]]",0.122425884008
36.0,11.356757611,116,"[[42.268244247600002, -83.168367000000018], [42.268244247600002, -83.160779000000019], [42.274732845900004, -83.160779000000019], [42.274732845900004, -83.168367000000018]]",0.315465489195
65.0,10.9341086447,117,"[[42.268244247600002, -83.160779000000019], [42.268244247600002, -83.153191000000021], [42.274732845900004, -83.153191000000021], [42.274732845900004, -83.160779000000019]]",0.168217056073
55.0,8.28315737843,118,"[[42.268244247600002, -83.153191000000021], [42.268244247600002, -83.145603000000023], [42.274732845900004, -83.145603000000023], [42.274732845900004, -83.153191000000021]]",0.150602861426
1.0,0.0865404903889,119,"[[42.268244247600002, -83.145603000000023], [42.268244247600002, -83.138015000000024], [42.274732845900004, -83.138015000000024], [42.274732845900004, -83.145603000000023]]",0.0865404903889
2.0,0.16937148571,120,"[[42.268244247600002, -83.138015000000024], [42.268244247600002, -83.130427000000026], [42.274732845900004, -83.130427000000026], [42.274732845900004, -83.138015000000024]]",0.0846857428551
1.0,0.0846857428551,152,"[[42.274732845900004, -83.274598999999995], [42.274732845900004, -83.267010999999997], [42.281221444200007, -83.267010999999997], [42.281221444200007, -83.274598999999995]]",0.0846857428551
27.0,2.8450833857,167,"[[42.274732845900004, -83.160779000000019], [42.274732845900004, -83.153191000000021], [42.281221444200007, -83.153191000000021], [42.281221444200007, -83.160779000000019]]",0.10537345873
52.0,5.19079610705,168,"[[42.274732845900004, -83.153191000000021], [42.274732845900004, -83.145603000000023], [42.281221444200007, -83.145603000000023], [42.281221444200007, -83.153191000000021]]",0.0998230020587
